ID,Name,NOC,Year,Season,Sport,Event,Medal
807,"Benjamin Willard ""Ben"" Adams",USA,1912,Summer,Athletics,Athletics Men's Standing Long Jump,Bronze
813,Edgar Holmes Adams,USA,1904,Summer,Swimming,Swimming Men's Plunge For Distance,Silver
818,Harry Lester Adams,USA,1912,Summer,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
830,Adrian Neil Adams,GBR,1980,Summer,Judo,Judo Men's Lightweight,Silver
830,Adrian Neil Adams,GBR,1984,Summer,Judo,Judo Men's Half-Middleweight,Silver
832,Nicola Virginia Adams,GBR,2012,Summer,Boxing,Boxing Women's Flyweight,Gold
832,Nicola Virginia Adams,GBR,2016,Summer,Boxing,Boxing Women's Flyweight,Gold
836,Platt Adams,USA,1912,Summer,Athletics,Athletics Men's Standing High Jump,Gold
836,Platt Adams,USA,1912,Summer,Athletics,Athletics Men's Standing Long Jump,Silver
837,Rachael Alexis Adams,USA,2016,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
840,"Victoria ""Vicki"" Adams",GBR,2014,Winter,Curling,Curling Women's Curling,Bronze
846,Valerie Kasanita Adams-Vili (-Price),NZL,2008,Summer,Athletics,Athletics Women's Shot Put,Gold
846,Valerie Kasanita Adams-Vili (-Price),NZL,2012,Summer,Athletics,Athletics Women's Shot Put,Gold
846,Valerie Kasanita Adams-Vili (-Price),NZL,2016,Summer,Athletics,Athletics Women's Shot Put,Silver
849,Filip Kamil Adamski,GER,2012,Summer,Rowing,Rowing Men's Coxed Eights,Gold
850,Herbert Adamski,GER,1936,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
851,Jerzy Adamski,POL,1960,Summer,Boxing,Boxing Men's Featherweight,Silver
882,Simon Addo,GHA,1992,Summer,Football,Football Men's Football,Bronze
884,Eugene Addor,SUI,1920,Summer,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
896,Olubayo Adefemi,NGR,2008,Summer,Football,Football Men's Football,Silver
908,"Ayodele ""Dele"" Adeleye",NGR,2008,Summer,Football,Football Men's Football,Silver
918,Ademir Roque Kaefer,BRA,1984,Summer,Football,Football Men's Football,Silver
918,Ademir Roque Kaefer,BRA,1988,Summer,Football,Football Men's Football,Silver
